	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC116915402	16.7127138702603	1.66412592892682	0.42621891970266	3.90439244247476	9.44623909251193e-05	0.00364590141513363
LOC116915666	7.05879066857529	2.9011837092393	0.799700418782087	3.62783817677336	0.000285804294042618	0.00636728553816467
LOC116915850	13.29470184556	1.80011591553535	0.574420697084383	3.1337936196803	0.00172562177597541	0.0213879882092726
LOC116916222	7.30189487775985	1.74196353830682	0.517816632407284	3.3640548203494	0.000768062852868841	0.0128097469792216
LOC116916271	11.8489138871721	1.74184761579261	0.503454741735127	3.45978987066331	0.000540597069597786	0.0102306542203452
LOC116916592	5.9736649688669	4.30046603087004	0.626849044190374	6.86044921137982	6.86443460832125e-12	2.01356748510757e-09
LOC116916699	6.49208124859054	2.4254219711201	0.645944011409235	3.75484860650483	0.000173446285012171	0.00499134984282584
LOC116916737	9.33675068416846	1.63130025165788	0.448839123880665	3.63448764794311	0.000278533600713634	0.00636728553816467
LOC116916740	6.60970735362498	2.53369781412622	0.494231506997062	5.12654045372564	2.95114668709446e-07	4.611361121699e-05
LOC116916748	6.96903307173996	2.82609825481201	0.616013553920011	4.58772089806806	4.48111170673541e-06	0.000342902461037145
LOC116916777	12.6084619946503	1.84200595225433	0.483651173073689	3.80854230239544	0.000139788434154565	0.00439335078771491
LOC116916899	9.42082795222087	1.74031445906228	0.58797958561039	2.95982122790136	0.00307817607801972	0.0316818122649983
LOC116916937	7.8423185121154	1.5173499865972	0.494850064023392	3.0662822881346	0.00216738583967283	0.0250960465646328
LOC116917168	11.3087013181581	1.6489556505808	0.502896544791421	3.27891624561611	0.00104206558409366	0.0149108571382507
LOC116917255	10.2939546956062	1.53995775282128	0.499380232654061	3.0837379057574	0.00204417595886001	0.0239177819625912
LOC116917680	59.0969697144785	1.59163365610411	0.418570104457933	3.80254977398673	0.000143214481443571	0.00442069521316332
LOC116917901	19.9145268679887	4.69149670907258	0.640513976781294	7.324581319284	2.39645710131979e-13	1.05444112458071e-10
LOC116918247	9.00319923973083	1.67163101030316	0.602015063347103	2.77672621845901	0.00549094094816075	0.0462395027213537
LOC116918569	41.5561994529771	1.55345441840642	0.470383101923046	3.3025302398311	0.000958167560519296	0.014380122777875
LOC116919692	7.55136539985701	1.68743959834084	0.447144725118345	3.77381081235885	0.000160772699065181	0.00479593136194437
LOC116919709	11.8710639313272	1.62084457937526	0.522561226336549	3.10173142913473	0.00192392420604971	0.0231925109770376
LOC116920186	129.776334452172	1.57969443730314	0.453529023972429	3.48311652353958	0.000495612595325106	0.00958547437112293
LOC116920389	12.3860434664287	1.67560102075809	0.493586631709699	3.39474554842399	0.000686924105023507	0.0122119840893068
LOC116921293	11.2977694095284	1.61425367906645	0.564573412779051	2.85924494942201	0.00424650743276255	0.0401558628106827
LOC116921412	13.0297817249373	1.77365450775829	0.531367289215573	3.3379068372399	0.000844120465130727	0.0133742492647767
LOC116921608	119.958184419031	-2.78751967678555	0.346881110887561	-8.03595119276789	9.28557040461164e-16	8.17130195605824e-13
LOC116921808	7.69392278007971	1.93609515448702	0.568172890994608	3.40758101129714	0.000655414496951976	0.0118920568519121
LOC116921881	8.62771307716472	2.12990995444414	0.558801048657736	3.81157114783566	0.000138086297235767	0.00439335078771491
LOC116922181	7.81842188851367	1.93635511995382	0.678616216061504	2.85338763519663	0.00432558221013821	0.0402805539145146
LOC116922405	8.11419866528227	1.8573125408311	0.564284428396526	3.29144744629735	0.000996732381880195	0.0147415881689844
LOC116923654	10.941815816445	1.86031530394105	0.502059356848364	3.7053692527892	0.000211082994650006	0.00555681442494388
LOC116924000	7.33207957412425	2.46370542457674	0.637161978767404	3.86668619075922	0.000110324241248045	0.00388341329193117
LOC116924210	13.2211611702966	1.74578115206342	0.532172834956746	3.28047776471963	0.00103631433062007	0.0149108571382507
LOC116924984	28.3258486246219	1.70815801268446	0.528543214114478	3.23182280477542	0.00123003305173123	0.0165256348934882
LOC116925503	9.08070391555301	1.93063490601728	0.494745281400419	3.90228058477375	9.52906051682654e-05	0.00364590141513363
LOC116925613	15.6132768116876	1.7193736256781	0.479869429416228	3.58300304266049	0.000339666649754915	0.00720256992251387
LOC116926243	17.6757023045233	1.5602943521833	0.46129116545011	3.38245010753853	0.000718423264735752	0.0124149878017927
LOC116926535	26.8086171881606	1.87831206021012	0.558815748849117	3.36123680135806	0.000775942696540213	0.0128097469792216
LOC116926729	24.3182950769268	2.05515231474829	0.608149126071782	3.37935586296594	0.000726558945218549	0.0124149878017927
LOC116927090	28.4499495684365	1.70185919246347	0.612227578483133	2.77978198349056	0.00543954041236962	0.0460268804123583
LOC116927831	9.20583498756652	2.2084235648625	0.765565772518915	2.88469475012735	0.00391793345086563	0.0383086826306861
LOC116928002	35.3982414518836	2.1949706748181	0.473367919026228	4.63692317665592	3.53633771248083e-06	0.000282907016998467
LOC116928153	301.448053364764	1.77191041574992	0.244373065631758	7.2508417045436	4.1418952974095e-13	1.45794714468815e-10
LOC116928850	6.34368853701644	1.85201024363955	0.570977920464903	3.24357593745762	0.00118039341153324	0.0161045922813838
LOC116929024	27.3388087080479	-1.50290868454559	0.331618011217487	-4.53204781919982	5.84146216655335e-06	0.000411238936525356
LOC116929132	14.8574879572957	1.83559456776781	0.567020373399877	3.23726386895328	0.00120681767238027	0.016338454641456
LOC116929355	7.58587746934124	1.68015171904335	0.448126159319489	3.74928283944588	0.000177340986448417	0.00499134984282584
LOC116930116	6.82417011438009	1.75611000031235	0.576451994138606	3.04641152805188	0.00231590622845953	0.0266404899482926
LOC116930166	8.14047914394416	1.55527727191615	0.462429854146266	3.363271765374	0.000770244971909714	0.0128097469792216
LOC116931102	20.2153063267824	1.54504476016805	0.494850481124338	3.12224564611434	0.00179477117017221	0.0220030839839294
LOC116931354	6.23992214865766	1.54119699279287	0.483802439378022	3.18559161209324	0.00144458358497333	0.0186946110996548
LOC116932218	9.71487010125585	1.82512470101642	0.530574252163293	3.43990439335286	0.000581919712206303	0.0107808283524536
LOC116932781	17.768195616205	-2.27160217530817	0.355952132741796	-6.3817630696877	1.75060670348693e-10	4.40152542591e-08
LOC116933277	27.7568880062933	3.40596241568572	0.402342618703058	8.46532844734362	2.55431832547066e-17	4.49560025282837e-14
LOC116934894	15.5220197437039	1.75062802186046	0.47501542365344	3.68541300911036	0.000228332063779703	0.00566006242608842
LOC116934974	21.5100062512862	2.65349269518026	0.5351237044314	4.95865287447835	7.09836696390142e-07	7.34889756262735e-05
LOC116935193	9.71170675852453	1.58396934419152	0.472554762446853	3.35192758610631	0.000802510066854097	0.0130779418302149
LOC116935274	20.3380781939212	2.27667794183357	0.606138427183812	3.75603631073395	0.00017262565843247	0.00499134984282584
LOC116935295	6.86612845945632	2.09691257055537	0.742862115292885	2.82274802737602	0.00476139766465188	0.0427554076009557
LOC116936119	43.4069596687015	3.99480206240065	0.659745066015049	6.05506925050582	1.40357270112258e-09	3.08785994246967e-07
LOC116936526	23.9219711931557	-2.29126058307138	0.457445387998302	-5.00881775876574	5.47653986566096e-07	6.42761672677786e-05
LOC116936639	10.5555493991785	1.75466685702304	0.58816631527755	2.98328348877822	0.0028517372096274	0.0304185302360256
LOC123466495	9.27631138842828	1.54272829817463	0.539838058145399	2.8577612765477	0.00426641231909518	0.0401558628106827
LOC123469324	212.67464727161	2.39135478845374	0.467554852684453	5.11459730280595	3.14410985570387e-07	4.611361121699e-05
LOC123470108	7.16362808896739	2.00683844901294	0.474137888720937	4.23260510655814	2.30999897829109e-05	0.0012704994380601
LOC123472450	6.6394134905844	2.55189489147486	0.57350091234579	4.44967886979786	8.59987805785521e-06	0.000540563763636613
LOC123474390	7.98956795462533	1.86497519751658	0.538215041579588	3.4651116253517	0.000530011440034893	0.010139349287624
LOC123476838	16.0608078236397	2.25354408900438	0.690252991140372	3.2648088714274	0.00109537962641495	0.0154229451399225
